roster,state_or_district,office_or_race,first,last,display_name
The Bench,TX-35,,Johnny,Garcia,Johnny Garcia
The Bench,Georgia,,Jason,Esteves,Jason Esteves
The Bench,AZ-01,,Marlene,Galán-Woods,Marlene Galán-Woods
The Bench,Alaska,,Mary,Peltola,Mary Peltola
The Bench,CT-01,,Luke,Bronin,Luke Bronin
The Bench,SC-01,,Nancy,Lacore,Nancy Lacore
The Bench,CO-08,,Shannon,Bird,Shannon Bird
The Bench,MT-01,,Sam,Forstag,Sam Forstag
The Bench,NE-02,,Denise,Powell,Denise Powell
The Bench,TX-15,,Bobby,Pulido,Bobby Pulido
The Bench,Iowa,,Josh,Turek,Josh Turek
The Bench,Texas,,James,Talarico,James Talarico
The Bench,Michigan,,Mallory,McMorrow,Mallory McMorrow
The Bench,MI-07,,Matt,Maasdam,Matt Maasdam
The Bench,TN-04,,Mike,Cortese,Mike Cortese
The Bench,FL-12,,Darren,McAuley,Darren McAuley
The Bench,IA-03,,Sarah,Trone Garriott,Sarah Trone Garriott
The Bench,NY-17,,Cait,Conley,Cait Conley
The Bench,PA-07,,Bob,Brooks,Bob Brooks
The Bench,NC-11,,Jamie,Ager,Jamie Ager
