first,last,display_name
Ruben,Gallego,Ruben Gallego
Buffy,Wicks,Buffy Wicks
George,Whitesides,George Whitesides
Matt,Mahan,Matt Mahan
Joe,Neguse,Joe Neguse
Michael,Bennet,Michael Bennet
Mike,Johnston,Mike Johnston
Sarah,McBride,Sarah McBride
Eileen,Higgins,Eileen Higgins
Phil,Olaleye,Phil Olaleye
Lauren,McLean,Lauren McLean
Jared,Golden,Jared Golden
Jake,Auchincloss,Jake Auchincloss
Elissa,Slotkin,Elissa Slotkin
Kristen,McDonald Rivet,Kristen McDonald Rivet
Angie,Craig,Angie Craig
Grant,Hauschild,Grant Hauschild
Quinton,Lucas,Quinton Lucas
Sandra,Jauregui,Sandra Jauregui
Maggie,Goodlander,Maggie Goodlander
Mikie,Sherrill,Mikie Sherrill
Gabe,Vasquez,Gabe Vasquez
Josh,Riley,Josh Riley
Pat,Ryan,Pat Ryan
Ritchie,Torres,Ritchie Torres
Jeff,Jackson,Jeff Jackson
Zeb,Smathers,Zeb Smathers
Aftab,Pureval,Aftab Pureval
Justin,Bibb,Justin Bibb
Janelle,Bynum,Janelle Bynum
Austin,Davis,Austin Davis
Brendan,Boyle,Brendan Boyle
Paige,Cognetti,Paige Cognetti
James,Talarico,James Talarico
Ron,Nirenberg,Ron Nirenberg
Abigail,Spanberger,Abigail Spanberger
Don,Scott,Don Scott
Phillip,Jones,Phillip Jones
Marie,Gluesenkamp Perez,Marie Gluesenkamp Perez
Kayla,Young,Kayla Young
Cavalier,Johnson,Cavalier Johnson
