roster,state_or_district,office_or_race,first,last,display_name
Majority Democrats,AZ,US Senator,Ruben,Gallego,Ruben Gallego
Majority Democrats,CA,Assemblymember,Buffy,Wicks,Buffy Wicks
Majority Democrats,CA,Congressman,George,Whitesides,George Whitesides
Majority Democrats,CA,Mayor of San Jose,Matt,Mahan,Matt Mahan
Majority Democrats,CO,Congressman,Joe,Neguse,Joe Neguse
Majority Democrats,CO,US Senator and Candidate for Governor,Michael,Bennet,Michael Bennet
Majority Democrats,CO,Mayor of Denver,Mike,Johnston,Mike Johnston
Majority Democrats,DE,Congresswoman,Sarah,McBride,Sarah McBride
Majority Democrats,FL,Mayor of Miami,Eileen,Higgins,Eileen Higgins
Majority Democrats,GA,State Representative,Phil,Olaleye,Phil Olaleye
Majority Democrats,ID,Mayor of Boise,Lauren,McLean,Lauren McLean
Majority Democrats,ME,Congressman,Jared,Golden,Jared Golden
Majority Democrats,MA,Congressman,Jake,Auchincloss,Jake Auchincloss
Majority Democrats,MI,US Senator,Elissa,Slotkin,Elissa Slotkin
Majority Democrats,MI,Congresswoman,Kristen,McDonald Rivet,Kristen McDonald Rivet
Majority Democrats,MN,Congresswoman,Angie,Craig,Angie Craig
Majority Democrats,MN,Senator,Grant,Hauschild,Grant Hauschild
Majority Democrats,MO,Mayor of Kansas City,Quinton,Lucas,Quinton Lucas
Majority Democrats,NV,Majority Leader of the State Assembly,Sandra,Jauregui,Sandra Jauregui
Majority Democrats,NH,Congresswoman,Maggie,Goodlander,Maggie Goodlander
Majority Democrats,NJ,Governor,Mikie,Sherrill,Mikie Sherrill
Majority Democrats,NM,Congressman,Gabe,Vasquez,Gabe Vasquez
Majority Democrats,NY,Congressman,Josh,Riley,Josh Riley
Majority Democrats,NY,Congressman,Pat,Ryan,Pat Ryan
Majority Democrats,NY,Congressman,Ritchie,Torres,Ritchie Torres
Majority Democrats,NC,Attorney General,Jeff,Jackson,Jeff Jackson
Majority Democrats,NC,Mayor of Canton,Zeb,Smathers,Zeb Smathers
Majority Democrats,OH,Mayor of Cincinnati,Aftab,Pureval,Aftab Pureval
Majority Democrats,OH,Mayor of Cleveland,Justin,Bibb,Justin Bibb
Majority Democrats,OR,Congresswoman,Janelle,Bynum,Janelle Bynum
Majority Democrats,PA,Lt. Governor,Austin,Davis,Austin Davis
Majority Democrats,PA,Congressman,Brendan,Boyle,Brendan Boyle
Majority Democrats,PA,Mayor of Scranton,Paige,Cognetti,Paige Cognetti
Majority Democrats,TX,State Representative,James,Talarico,James Talarico
Majority Democrats,TX,Mayor of San Antonio,Ron,Nirenberg,Ron Nirenberg
Majority Democrats,VA,Governor,Abigail,Spanberger,Abigail Spanberger
Majority Democrats,VA,Speaker of the House of Delegates,Don,Scott,Don Scott
Majority Democrats,VA,Mayor of Newport News,Phillip,Jones,Phillip Jones
Majority Democrats,WA,Congresswoman,Marie,Gluesenkamp Perez,Marie Gluesenkamp Perez
Majority Democrats,WV,Delegate,Kayla,Young,Kayla Young
Majority Democrats,WI,Mayor of Milwaukee,Cavalier,Johnson,Cavalier Johnson
